hdi_ranking;neighbourhood;per_capita_income_2000;longevity_index;education_index;income_index;human_development_index
1;Gávea;2139,559275;0,924139163;0,987167084;1;0,970435416
2;Leblon;2441,279121;0,907799102;0,993402874;1;0,967067325
3;Jardim Guanabara;1316,862722;0,924434707;0,99276745;0,971799869;0,963000676
4;Ipanema;2465,445144;0,894594337;0,991860086;1;0,962151475
5;Lagoa;2955,293718;0,881842077;0,996426748;1;0,959422942
6;Flamengo;1781,713914;0,881842077;0,995221901;1;0,959021326
7;Humaitá;1830,650158;0,881842077;0,995181539;1;0,959007872
8;Joá, Barra da Tijuca;2488,468691;0,880736396;0,995845523;1;0,95886064
9;Laranjeiras;1679,219364;0,880736396;0,991572659;1;0,957436352
10;Jardim Botânico;1952,768138;0,880736396;0,991415446;1;0,957383947
11;Copacabana;1623,415521;0,879608187;0,989887574;1;0,956498587
12;Leme;1713,890006;0,874560866;0,991679489;1;0,955413452
13;Botafogo, Urca;1376,473616;0,887560943;0,989705153;0,979189765;0,952151954
14;Maracanã;1206,726175;0,881842077;0,992717877;0,957221091;0,943927015
15;Glória;1183,277912;0,872856305;0,993714471;0,953945737;0,940172171
16;Grajaú;1134,932039;0,88063055;0,986028626;0,946982648;0,937880608
17;Méier;1000,160927;0,872856305;0,99339489;0,925882274;0,930711156
18;Tijuca, Alto da Boa Vista;1204,606619;0,834012537;0,986767616;0,95692765;0,925902601
19;Todos os Santos;825,9052879;0,881842077;0,990330296;0,893928207;0,922033527
20;Anil;768,2592284;0,869233304;0,981981284;0,881851231;0,91102194
21;Vila da Penha;669,3401138;0,877254332;0,991951394;0,858844151;0,909349959
22;Andaraí;897,0742334;0,833155769;0,98702722;0,907725374;0,909302788
23;Riachuelo;715,9219471;0,857397424;0,988721251;0,870074176;0,905397617
24;Campinho, Vila Valqueire;684,9388118;0,874560866;0,974685656;0,862689465;0,903978662
25;Moneró, Portuguesa;730,3957446;0,857142876;0,981366938;0,873415093;0,903974969
26;Catete;822,2168596;0,833155769;0,977663089;0,893181096;0,901333318
27;Vila Isabel;931,2544479;0,807708566;0,981089592;0,913967082;0,900921747
28;Cachambi;709,0462348;0,844962152;0,98761043;0,868463352;0,900345311
29;Pechincha;751,2785865;0,844461628;0,977892832;0,878120508;0,900158323
30;Freguesia (Jacarepaguá);766,8213139;0,834478448;0,97914447;0,881538526;0,898387148
31;Recreio dos Bandeirantes, Grumari;1166,175631;0,792564266;0,939328632;0,95151562;0,894469506
32;Centro;633,3573383;0,851928727;0,981351651;0,84962069;0,894300356
33;Higienópolis;614,413466;0,81771443;0,983061956;0,844551955;0,881776114
34;Santa Teresa, Cosme Velho;701,188704;0,81771443;0,949599519;0,866603273;0,877972407
35;Água Santa, Encantado;496,6563754;0,853426235;0,9687158;0,809036929;0,877059655
36;Taquara;544,2879979;0,853426235;0,95114698;0,824323271;0,876298829
37;Vila Kosmos;498,8234263;0,870056794;0,948731634;0,809763653;0,876184027
38;Vidigal, São Conrado;1131,467363;0,768588167;0,905045198;0,946472309;0,873368558
39;Cidade Nova, Praça da Bandeira;640,3106831;0,784144244;0,964738127;0,851443218;0,866775196
40;Bonsucesso;552,9866422;0,828371598;0,927957484;0,826969806;0,861099629
41;Cocotá, Bancários;518,2831492;0,81771443;0,948760146;0,816151515;0,860875364
42;Maria da Graça, Del Castilho;505,4036821;0,794253822;0,973900595;0,81195116;0,860035192
43;Ribeira, Cacuia;527,1990668;0,79749665;0,961089725;0,818998547;0,859194974
44;Lins de Vasconcelos;583,3527343;0,79543903;0,944594025;0,835892923;0,858641993
45;Engenho Novo;573,3252572;0,789443497;0,952996088;0,832998764;0,85847945
46;Zumbi, Pitangueiras, Praia da Bandeira;517,8277045;0,808883756;0,950448048;0,816004771;0,858445525
47;Ramos;508,7576446;0,815596146;0,943183345;0,813055201;0,857278231
48;Engenho de Dentro;536,5449113;0,794253822;0,953680188;0,821931634;0,856621881
49;Abolição;467,2279003;0,804746521;0,966081458;0,79884139;0,856556456
50;Deodoro, Vila Militar, Campo dos Afonsos, Jardim Sulacap;462,1296481;0,809798591;0,962549595;0,797010024;0,856452737
51;Osvaldo Cruz;441,3351724;0,809798591;0,965408148;0,789324991;0,85484391
52;Olaria;460,3082671;0,814437153;0,949362402;0,796350856;0,85338347
53;Bento Ribeiro;399,8485781;0,834113287;0,946850073;0,772847096;0,851270152
54;Piedade;447,6440093;0,794253822;0,965541104;0,791694167;0,850496364
